species,atom_index,symbol,old_charge,new_charge,delta,abs_delta
glucose_36,14,O,-0.6338136202958249,-0.36889828136141567,0.2649153389344092,0.2649153389344092
glucose_36,15,C,0.7802143142326559,0.2088966587433577,-0.5713176554892981,0.5713176554892981
glucose_36,16,C,0.49779501368092727,0.8291330601044782,0.3313380464235509,0.3313380464235509
glucose_36,17,O,-0.7882260957974759,-0.8345657187432105,-0.04633962294573457,0.04633962294573457
glucose_36,18,O,-0.7095689178834514,-0.8345657187432105,-0.12499680085975906,0.12499680085975906
glucose_36,19,C,0.15658957946790625,0.12185779097219561,-0.03473178849571064,0.03473178849571064
glucose_36,20,O,-0.6858568466782056,-0.6331253863599812,0.0527314603182244,0.0527314603182244
glucose_36,21,H,-0.05234144171355874,-0.06984007043211532,-0.017498628718556578,0.017498628718556578
glucose_36,22,H,0.12468243233439863,0.132306020819291,0.007623588484892363,0.007623588484892363
glucose_36,23,H,0.07366276621665051,0.16095712061474282,0.08729435439809231,0.08729435439809231
